Time [s],HBX TX,HBX RX,RA RX,RA TX,DEC RX,DEC TX
0.672797917,1,1,1,1,1,1
0.673005875,1,1,1,1,1,0
0.673005917,1,0,1,1,1,0
0.673109875,1,0,1,1,1,1
0.673110000,1,1,1,1,1,1
0.673213917,1,1,1,1,1,0
0.673213958,1,0,1,1,1,0
0.673942042,1,0,1,1,1,1
0.673942125,1,1,1,1,1,1
0.674046083,1,1,1,1,1,0
0.674046125,1,0,1,1,1,0
0.674150083,1,0,1,1,1,1
0.674150167,1,1,1,1,1,1
0.674254125,1,1,1,1,1,0
0.674254167,1,0,1,1,1,0
0.674358125,1,0,1,1,1,1
0.674358208,1,1,1,1,1,1
0.674462167,1,1,1,1,1,0
0.674462208,1,0,1,1,1,0
0.674982250,1,0,1,1,1,1
0.674982333,1,1,1,1,1,1
0.675086292,1,1,1,1,1,0
0.675086333,1,0,1,1,1,0
0.675398333,1,0,1,1,1,1
0.675398417,1,1,1,1,1,1
0.675502375,1,1,1,1,1,0
0.675502417,1,0,1,1,1,0
0.675710417,1,0,1,1,1,1
0.675710500,1,1,1,1,1,1
0.675814417,1,1,1,1,1,0
0.675814458,1,0,1,1,1,0
0.676022458,1,0,1,1,1,1
0.676022542,1,1,1,1,1,1
0.676126500,1,1,1,1,1,0
0.676126542,1,0,1,1,1,0
0.676438542,1,0,1,1,1,1
0.676438625,1,1,1,1,1,1
0.676542583,1,1,1,1,1,0
0.676542625,1,0,1,1,1,0
0.676646583,1,0,1,1,1,1
0.676646667,1,1,1,1,1,1
0.676750625,1,1,1,1,1,0
0.676750667,1,0,1,1,1,0
0.676958625,1,0,1,1,1,1
0.676958750,1,1,1,1,1,1
0.677166708,1,1,1,1,1,0
0.677166750,1,0,1,1,1,0
0.678102875,1,0,1,1,1,1
0.678102958,1,1,1,1,1,1
0.678206917,1,1,1,1,1,0
0.678206958,1,0,1,1,1,0
0.678518958,1,0,1,1,1,1
0.678519042,1,1,1,1,1,1
0.678727000,1,1,1,1,1,0
0.678727042,1,0,1,1,1,0
0.679039042,1,0,1,1,1,1
0.679039125,1,1,1,1,1,1
0.679247125,1,1,1,1,1,0
0.679247167,1,0,1,1,1,0
0.679871208,1,0,1,1,1,1
0.679871292,1,1,1,1,1,1
0.680079250,1,1,1,1,1,0
0.680079292,1,0,1,1,1,0
0.680183292,1,0,1,1,1,1
0.680183375,1,1,1,1,1,1
0.892956917,0,1,0,1,0,1
0.893061208,1,1,0,1,0,1
0.893061250,1,1,1,1,1,1
0.893165292,0,1,0,1,0,1
0.893269583,1,1,1,1,1,1
0.893373625,1,1,1,1,0,1
0.893373667,0,1,0,1,0,1
0.893477958,1,1,1,1,1,1
0.893582000,0,1,0,1,0,1
0.893686333,1,1,1,1,1,1
0.893790375,0,1,0,1,0,1
0.893894708,1,1,1,1,1,1
0.893998750,0,1,0,1,0,1
0.894207250,1,1,1,1,1,1
0.894311292,0,1,0,1,0,1
0.894415625,1,1,1,1,1,1
0.894519667,0,1,0,1,0,1
0.894624000,1,1,1,1,1,1
0.894728042,0,1,0,1,0,1
0.894832333,1,1,1,1,1,1
0.895040583,0,1,0,1,0,1
0.895144917,1,1,1,1,1,1
0.895248958,0,1,0,1,0,1
0.895978375,1,1,1,1,1,1
0.896082417,0,1,0,1,0,1
0.896186750,1,1,1,1,1,1
0.896290792,0,1,0,1,0,1
0.897020208,1,1,1,1,1,1
0.897124250,0,1,0,1,0,1
0.897436958,1,1,1,1,1,1
0.897541000,0,1,0,1,0,1
