Time [s],HBX TX,HBX RX,RA RX,RA TX,DEC RX,DEC TX
0.062354417,0,1,0,1,0,1
0.062458750,1,1,1,1,1,1
0.062562792,0,1,0,1,0,1
0.062979667,1,1,1,1,1,1
0.063083708,0,1,0,1,0,1
0.063292208,1,1,1,1,1,1
0.063396250,0,1,0,1,0,1
0.063500583,1,1,1,1,1,1
0.063604625,0,1,0,1,0,1
0.064334042,1,1,1,1,1,1
0.064438083,0,1,0,1,0,1
0.065375875,1,1,1,1,1,1
0.065479917,0,1,0,1,0,1
0.066417708,1,1,1,1,1,1
0.066548250,1,1,1,1,1,0
0.066548292,1,0,1,1,1,0
0.066652250,1,0,1,1,1,1
0.066652333,1,1,1,1,1,1
0.066756292,1,1,1,1,1,0
0.066756333,1,0,1,1,1,0
0.066860292,1,0,1,1,1,1
0.066860375,1,1,1,1,1,1
0.066964333,1,1,1,1,1,0
0.066964375,1,0,1,1,1,0
0.067068333,1,0,1,1,1,1
0.067068417,1,1,1,1,1,1
0.067172375,1,1,1,1,1,0
0.067172417,1,0,1,1,1,0
0.067276375,1,0,1,1,1,1
0.067276458,1,1,1,1,1,1
0.067380417,1,1,1,1,1,0
0.067380458,1,0,1,1,1,0
0.067484417,1,0,1,1,1,1
0.067484500,1,1,1,1,1,1
0.067588458,1,1,1,1,1,0
0.067588500,1,0,1,1,1,0
0.067796500,1,0,1,1,1,1
0.067796583,1,1,1,1,1,1
0.067900542,1,1,1,1,1,0
0.067900583,1,0,1,1,1,0
0.068004542,1,0,1,1,1,1
0.068004625,1,1,1,1,1,1
0.068108542,1,1,1,1,1,0
0.068108583,1,0,1,1,1,0
0.068212583,1,0,1,1,1,1
0.068212625,1,1,1,1,1,1
0.068316583,1,1,1,1,1,0
0.068316625,1,0,1,1,1,0
0.068420625,1,0,1,1,1,1
0.068420708,1,1,1,1,1,1
0.068628667,1,1,1,1,1,0
0.068628708,1,0,1,1,1,0
0.068732667,1,0,1,1,1,1
0.068732750,1,1,1,1,1,1
0.068836708,1,1,1,1,1,0
0.068836750,1,0,1,1,1,0
0.069564833,1,0,1,1,1,1
0.069564917,1,1,1,1,1,1
0.069668875,1,1,1,1,1,0
0.069668917,1,0,1,1,1,0
0.069772875,1,0,1,1,1,1
