Time [s],HBX TX,HBX RX,RA RX,RA TX,DEC RX,DEC TX
0.296354750,1,1,1,0,1,1
0.296354792,1,0,1,0,1,1
0.296458750,1,0,1,1,1,1
0.296458792,1,1,1,1,1,1
0.296666792,1,1,1,0,1,1
0.296666833,1,0,1,0,1,1
0.296770833,1,0,1,1,1,1
0.296770875,1,1,1,1,1,1
0.296874833,1,1,1,0,1,1
0.296874917,1,0,1,0,1,1
0.297603000,1,0,1,1,1,1
0.297603042,1,1,1,1,1,1
0.297707042,1,1,1,0,1,1
0.297707083,1,0,1,0,1,1
0.297811042,1,0,1,1,1,1
0.297811125,1,1,1,1,1,1
0.297915083,1,1,1,0,1,1
0.297915125,1,0,1,0,1,1
0.298019083,1,0,1,1,1,1
0.298019125,1,1,1,1,1,1
0.298123125,1,1,1,0,1,1
0.298123167,1,0,1,0,1,1
0.298643208,1,0,1,1,1,1
0.298643292,1,1,1,1,1,1
0.298747250,1,1,1,0,1,1
0.298747292,1,0,1,0,1,1
0.299059292,1,0,1,1,1,1
0.299059375,1,1,1,1,1,1
0.299163333,1,1,1,0,1,1
0.299163375,1,0,1,0,1,1
0.299683417,1,0,1,1,1,1
0.299683500,1,1,1,1,1,1
0.299787458,1,1,1,0,1,1
0.299787500,1,0,1,0,1,1
0.300099500,1,0,1,1,1,1
0.300099583,1,1,1,1,1,1
0.300203542,1,1,1,0,1,1
0.300203583,1,0,1,0,1,1
0.300307542,1,0,1,1,1,1
0.300307625,1,1,1,1,1,1
0.300411583,1,1,1,0,1,1
0.300411625,1,0,1,0,1,1
0.300619625,1,0,1,1,1,1
0.300619667,1,1,1,1,1,1
0.300827667,1,1,1,0,1,1
0.300827708,1,0,1,0,1,1
0.300931667,1,0,1,1,1,1
0.300931750,1,1,1,1,1,1
0.301035708,1,1,1,0,1,1
0.301035750,1,0,1,0,1,1
0.301139750,1,0,1,1,1,1
0.301139792,1,1,1,1,1,1
0.301867917,1,1,1,0,1,1
0.301867958,1,0,1,0,1,1
0.301971917,1,0,1,1,1,1
0.301972000,1,1,1,1,1,1
0.302179958,1,1,1,0,1,1
0.302180000,1,0,1,0,1,1
0.302283958,1,0,1,1,1,1
0.302284042,1,1,1,1,1,1
0.302388000,1,1,1,0,1,1
0.302388042,1,0,1,0,1,1
0.302492000,1,0,1,1,1,1
0.302492083,1,1,1,1,1,1
0.302700083,1,1,1,0,1,1
0.302700125,1,0,1,0,1,1
0.302804083,1,0,1,1,1,1
0.302804167,1,1,1,1,1,1
0.302908125,1,1,1,0,1,1
0.302908167,1,0,1,0,1,1
0.303116125,1,0,1,1,1,1
0.303116208,1,1,1,1,1,1
0.303324208,1,1,1,0,1,1
0.303324250,1,0,1,0,1,1
